"lat","lon","weight"
33.771709999999999,-84.363410000000002,7.3935154777
33.753619999999998,-84.495580000000004,7.9513736771
33.770760000000003,-84.465950000000007,8.130686286
33.821489999999997,-84.351609999999994,6.2389793799
33.73283,-84.394019999999998,9.8904320988
33.847810000000003,-84.359970000000004,9.8658966291
33.843910000000001,-84.370829999999998,9.8904320988
33.816180000000003,-84.366370000000003,7.9513736771
33.803879999999999,-84.412779999999998,8.6182848431
33.743989999999997,-84.512529999999998,7.4513412065
33.846760000000003,-84.362120000000004,6.2454093803
33.754930000000002,-84.433199999999999,8.1345443019
33.753320000000002,-84.389309999999995,6.6413735204
33.841920000000002,-84.386269999999996,6.2454093803
33.76341,-84.390609999999995,8.1345443019
33.640689999999999,-84.443879999999993,8.1345443019
33.751660000000001,-84.467889999999997,6.5399552645
33.70008,-84.418030000000002,7.7772217082
33.73386,-84.396900000000002,8.0117822737
33.778100000000002,-84.34939,8.1345443019
33.75029,-84.395049999999998,7.7616040662
33.809649999999998,-84.391440000000003,6.2454093803
33.742919999999998,-84.440020000000004,6.2454093803
33.641840000000002,-84.447699999999998,7.4892536458
33.781550000000003,-84.38682,7.8189049951
33.697940000000003,-84.508949999999999,6.3082357713
33.761060000000001,-84.375879999999995,8.2286467293
33.742400000000004,-84.42577,7.9657939309
33.774769999999997,-84.406700000000001,6.6833140609
33.749589999999998,-84.393619999999999,7.9657939309
33.763289999999998,-84.390540000000001,6.3655335709
33.729559999999999,-84.384200000000007,6.6833140609
33.756779999999999,-84.354380000000006,7.2822391449
33.717709999999997,-84.523150000000001,8.191207362
33.727339999999998,-84.351050000000001,7.6690066902
33.713479999999997,-84.390519999999995,6.351760231
33.727110000000003,-84.388120000000001,7.7302949723
33.800890000000003,-84.415700000000001,8.073254171
33.754010000000001,-84.518339999999995,8.569649399
33.720550000000003,-84.350449999999995,7.7302949723
33.793520000000001,-84.396929999999998,9.7799952049
33.772959999999998,-84.365039999999993,8.0909647037
33.810070000000003,-84.371300000000005,8.0117822737
33.764159999999997,-84.417739999999995,6.351760231
33.650880000000001,-84.363619999999997,8.726244724
33.716209999999997,-84.448269999999994,6.351760231
33.819850000000002,-84.381439999999998,10.0
33.751190000000001,-84.389960000000002,6.0757993958
33.763390000000001,-84.390770000000003,8.569649399
33.784770000000002,-84.387519999999995,9.7799952049
33.755389999999998,-84.382360000000006,8.2439200684
33.760379999999998,-84.454509999999999,7.7786007462
33.70823,-84.359120000000004,6.3082357713
33.752580000000002,-84.389920000000004,6.3082357713
33.840969999999999,-84.383809999999997,8.0909647037
33.670470000000002,-84.511219999999994,9.9752501865
33.810400000000001,-84.477050000000006,6.1661095697
33.792310000000001,-84.404859999999999,8.247733069
33.740499999999997,-84.358440000000002,6.351760231
33.771810000000002,-84.470479999999995,7.9657939309
33.754950000000001,-84.483620000000002,6.2454093803
33.732790000000001,-84.443879999999993,6.1661095697
33.706400000000002,-84.383210000000005,6.6028325981
33.693579999999997,-84.485939999999999,6.2316528169
33.72325,-84.400570000000002,6.2316528169
33.747169999999997,-84.423749999999998,6.2316528169
33.712919999999997,-84.385890000000003,7.0542348508
33.753920000000001,-84.49736,6.2848356492
33.782299999999999,-84.407359999999997,8.1345443019
33.754089999999998,-84.390540000000001,6.6028325981
33.770890000000001,-84.36045,7.4526401774
33.809579999999997,-84.392939999999996,6.2316528169
33.85398,-84.364599999999996,6.6833140609
33.741599999999998,-84.42313,7.8879110063
33.728879999999997,-84.385360000000006,8.1692003332
33.705500000000001,-84.522139999999993,6.2316528169
33.776510000000002,-84.470380000000006,8.1692003332
33.75611,-84.389840000000007,6.2454093803
33.750950000000003,-84.421679999999995,9.6710703896
33.756,-84.416290000000004,9.1742870407
33.82403,-84.363280000000003,9.6697843817
33.756189999999997,-84.370220000000003,6.2316528169
33.682940000000002,-84.394170000000003,8.0295742465
33.755459999999999,-84.38185,9.5027229776
33.6569,-84.510040000000004,8.130686286
33.82403,-84.363280000000003,8.7658131967
33.762500000000003,-84.33426,9.0461648416
33.751190000000001,-84.389960000000002,6.2389793799
33.7744,-84.381280000000004,6.944928516
33.721649999999997,-84.393360000000001,10.0
33.774709999999999,-84.355019999999996,9.6697843817
33.733960000000003,-84.401769999999999,9.5027229776
